category,food_type,manufacturer,product,description,upc,delivered_price,delivered_case_price,price_per_unit,price_per_oz,pack_size_raw,cases_per_pallet,lead_time_days,min_pallet_qty,mixed_pallet,available,has_promo,main_category,sub_category,product_id,product_url
Canned Goods,Food,Wylwood,Wylwood Black Beans,Wylwood Black Beans,5193333617,2071.45,24.37,1.02,0.07,24/15.25 oz,85,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Legumes, Nuts & Seeds",600480,https://epallet.com/product/wylwood-wylwood-black-beans-600480
Canned Goods,Food,Wylwood,Wylwood Black Beans,Wylwood Black Beans,05193333617,2021.30,23.78,0.99,0.06,24/15.25 oz,85,21,1,No,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Legumes, Nuts & Seeds",600479,https://epallet.com/product/wylwood-wylwood-black-beans-600479
Canned Goods,Food,La Fe,LA FE WHOLE KERNEL CORN,LA FE WHOLE KERNEL CORN,2354520125,3381.30,39.78,1.66,0.11,24/15 oz,85,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Fruits & Vegetables",600041,https://epallet.com/product/la-fe-ep-la-fe-whole-kernel-corn-600041
Canned Goods,Food,La Fe,LA FE PIGEON PEAS GREEN,LA FE PIGEON PEAS GREEN,2354501095,4470.90,42.58,1.77,0.12,24/15 oz,105,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Fruits & Vegetables",600038,https://epallet.com/product/la-fe-ep-la-fe-pigeon-peas-green-600038
Canned Goods,Food,La Fe,LA FE TOMATO PASTE,LA FE TOMATO PASTE,2354521247,5146.00,51.46,4.29,0.15,12/29 oz,100,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Pantry & Baking Supplies",600037,https://epallet.com/product/la-fe-ep-la-fe-tomato-paste-600037
Canned Goods,Food,La Fe,LA FE PIGEON PEAS GREEN,LA FE PIGEON PEAS GREEN,2354501095,4348.05,41.41,1.73,0.12,24/15 oz,105,21,1,No,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Fruits & Vegetables",599995,https://epallet.com/product/la-fe-ep-la-fe-pigeon-peas-green-599995
Canned Goods,Food,La Fe,LA FE TOMATO PASTE,LA FE TOMATO PASTE,2354521247,5001.00,50.01,4.17,0.14,12/29 oz,100,21,1,No,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Pantry & Baking Supplies",599994,https://epallet.com/product/la-fe-ep-la-fe-tomato-paste-599994
Canned Goods,Food,La Fe,LA FE WHOLE KERNEL CORN,LA FE WHOLE KERNEL CORN,2354520125,3292.90,38.74,1.61,0.11,24/15 oz,85,21,1,No,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Fruits & Vegetables",599991,https://epallet.com/product/la-fe-ep-la-fe-whole-kernel-corn-599991
Canned Goods,Food,Carmela,CARMELA CHICKEN VIENNA SAUSAGE,CARMELA VIENNA SAUSAGE,5031315135,6164.40,46.70,0.97,0.19,48/5 oz,132,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599978,https://epallet.com/product/carmela-ep-carmela-chicken-vienna-sausage-599978
Canned Goods,Food,Carmela,CARMELA CHICKEN VIENNA SAUSAGE,CARMELA VIENNA SAUSAGE,5031315135,5986.20,45.35,0.94,0.19,48/5 oz,132,21,1,No,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599920,https://epallet.com/product/carmela-ep-carmela-vienna-sausage-599920
